iter	Passed	Remaining
0	1	1214
1	2	1386
2	4	1378
3	5	1359
4	6	1388
5	11	1970
6	13	1907
7	14	1795
8	15	1710
9	16	1615
10	17	1531
11	17	1469
12	18	1424
13	19	1401
14	22	1499
15	31	1916
16	32	1897
17	33	1837
18	34	1780
19	35	1724
20	35	1676
21	36	1635
22	37	1607
23	41	1694
24	43	1704
25	45	1708
26	47	1699
27	48	1674
28	49	1644
29	49	1612
30	50	1591
31	52	1581
32	53	1580
33	54	1560
34	56	1557
35	58	1557
36	60	1584
37	62	1576
38	63	1567
39	64	1559
40	66	1562
41	68	1572
42	69	1557
43	71	1551
44	73	1554
45	76	1577
46	77	1568
47	78	1558
48	79	1550
49	83	1584
50	85	1583
51	87	1601
52	89	1592
53	90	1582
54	91	1570
55	92	1557
56	93	1543
57	94	1528
58	95	1516
59	98	1538
60	99	1533
61	102	1543
62	103	1538
63	104	1532
64	106	1527
65	107	1521
66	108	1511
67	109	1502
68	112	1518
69	114	1517
70	115	1517
71	116	1506
72	117	1497
73	118	1487
74	119	1478
75	120	1470
76	121	1460
77	122	1452
78	123	1442
79	126	1459
80	128	1457
81	130	1456
82	130	1443
83	131	1437
84	133	1432
85	134	1424
86	135	1417
87	136	1410
88	137	1403
89	138	1395
90	139	1396
91	142	1405
92	144	1411
93	145	1406
94	147	1402
95	148	1395
96	148	1387
97	149	1378
98	150	1371
99	151	1363
100	152	1356
101	153	1349
102	155	1352
103	157	1353
104	158	1347
105	159	1341
106	160	1336
107	161	1332
108	162	1328
109	163	1322
110	164	1316
111	165	1310
112	166	1305
113	167	1299
114	168	1295
115	170	1300
116	171	1296
117	172	1291
118	173	1287
119	175	1283
120	176	1279
121	176	1273
122	177	1268
123	179	1264
124	180	1260
125	180	1255
126	182	1251
127	184	1255
128	185	1255
129	186	1251
130	187	1246
131	188	1241
132	189	1237
133	190	1233
134	191	1229
135	192	1224
136	193	1220
137	194	1216
138	195	1213
139	197	1212
140	199	1212
141	199	1207
142	201	1204
143	202	1202
144	203	1199
145	204	1195
146	205	1191
147	206	1186
148	207	1183
149	208	1180
150	209	1176
151	210	1172
152	211	1170
153	213	1171
154	214	1168
155	215	1165
156	216	1162
157	217	1158
158	218	1154
159	218	1149
160	219	1143
161	220	1139
162	220	1134
163	221	1129
164	222	1125
165	223	1120
166	223	1116
167	224	1112
168	225	1108
169	226	1107
170	228	1105
171	228	1102
172	229	1097
173	230	1094
174	231	1090
175	232	1086
176	232	1082
177	233	1079
178	234	1075
179	235	1072
180	236	1069
181	237	1065
182	237	1061
183	238	1058
184	239	1054
185	240	1051
186	241	1050
187	242	1047
188	243	1044
189	244	1040
190	244	1037
191	245	1034
192	246	1031
193	247	1028
194	248	1025
195	249	1023
196	250	1019
197	251	1017
198	251	1013
199	252	1010
200	253	1007
201	254	1004
202	254	1000
203	256	1000
204	257	998
205	258	995
206	259	992
207	259	989
208	260	986
209	261	983
210	262	980
211	262	977
212	263	974
213	264	971
214	265	968
215	266	966
216	267	963
217	267	960
218	268	957
219	269	954
220	270	952
221	271	952
222	272	950
223	273	947
224	274	944
225	274	941
226	275	938
227	276	935
